tweet,processed_text,class
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",dodge bullet bitche cut pregnant bound thank god,1
""" young Pill Chamberlain these bitches love my music """,young pill chamberlain bitche love music,1
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",teanna trump probab cleaner twitter hoe,1
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",gay nigga couldnt wait act like bitche tonight,1
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",ima steal cat replace pitbull bitch,1
"""&amp; he's gone always be a hoe""",hes gone alway hoe,1
"""...Son of a bitch took my Tic Tacs.""

I like this movie.",son bitch took tic tac like movie,1
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",wanna get money fuck model bitche russell simmon,1
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",probab wouldnt mind school much didnt deal bitch ass teacher retweet,1
"""@A7XDemery: I'm a fucking fag they said""",fuck fag said,1
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",female think dat pussy cute stuff make pussy,1
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",simplyaddictedtoguy woof woof hot scal lad,2
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",ever ask bitch bitche kanye voice yes,1
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",gone br side bitch game know friend swear,1
"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",woof woof hot sole,2
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",lemmie eat oreo dishe one oreo lol,2
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",bitch fuck maybe youll get better,1
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",fuck red malone man bitch ass niggah could please use complete sentence,1
"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",eggplant emoji doey say look like scream lmao,2
"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",hennessey venom that one sexy bitch,1
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",seh pussy wetter shower curtainahmesehwetnesslmao,1
"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",eaglesnation every eagle ne see pic post bitch said racist shit,1
"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",fuck skateboard yall wood push faggot man ball life,1
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",baby monkey bathtime awwwwe soooo adorable,2
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",aint shit damn skippy lol,1
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",ever kill ant sidewalk think damn nigga way get pussyno must chance,1
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",ring mvp bitche lol,1
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",ppl talk bad ghettohood kid grow nigga funnnnnnn,1
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",fact tattoostattoo hes pussy tattoo nipple,1
"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",bitche want act like nigga bad shit aint cuteeeee nigga act like bitche,1
"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",get worship bitch woof woof,1
"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",wow lost buttcheek piercing yeah she hoe,1
"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",sis sh rather broke bitch shrug shell tell work,1
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",queer gaywad,0
"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",faggot read tweet dat wasnt even funny lol,1
"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",bitch ungrateful lulwhore,1
"""@CASHandBOOBIES: I been kidnapped yo bitch""",kidnapp bitch,1
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",alsarabss hes beaner smh tell hes mexican,0
"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",happy birthday nig thank,1
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",teacher tell homework bitch ne,1
"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",nigga eat hoe lol hell yea lol john paul nigga said john paul,1
"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",would yall lil ug bald head bitche stop mak makeup weave,1
"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",leaf better win damn game riot shit earlychristma better start loot nig,1
"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",go back school suck dick hoe attend,1
"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",way fuck bitch year old,1
"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",come never br food dont car retard,1
"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",richnow doesnt show hella tinder hoe friend anymore chill brought like like prople,1
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",bout cowboy shutup pussy,1
"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",lmaooooooooooo nigga bitch want like depress shitfoh,1
"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",girl know spitt shit go lbvsbitch plz,1
"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",let make couple tweet cuzzo page wont get twitter jaillmao bitch dont trick,1
"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",harlem shake excuse full retard second,1
"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",amen miley dont ne act like hoe she emotional damag foh,1
"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",one loyal female wayyyyy better hoe idc,1
"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",pussy lick pussy meow meow stopwhitepeople,1
"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",check man cowboysnation even faggot fan stand,1
"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",happen vixen ent bitche got ran threw side like foothill bitch,1
"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",bitch okay nude pat wow,1
"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",youre fuck gay blacklist hoe hold tehgodclan anyway,0
"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",fuck wrong bitche nobody know,1
"""@Dietrich1892: Yall shut up:p"" make me bitch",yall shut upp make bitch,1
"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",hate pregnant type bitch,1
"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",got bitche dont ever readem top,1
"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",baseball season win yankee love start,2
"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",little stupid bitch dont fuck yoooooouuuu,1
"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",real ask dead ass seriou tho could say bitch wheet lol,1
"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",ear bird night owl wise worm,2
"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",overdos heavy drug doesnt sound bad tonight pussy shit every day,2
"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",pit bull photograph love fairy tale creature fairy tale creature,2
"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",fag dont tweet lol,1
"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",long laker trash could careles that real hahaha,2
"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",didnt say anyth tho kis faggot,1
"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",play soccer cheat girl wear khaki colour cargo haircut yup,2
"""@G27Status: I could go for a fat ass bitch on my lap"" same",could fat ass bitch lap,1
"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",miss call das bitch twitter finna screamn freemoneymelle,1
"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",side bitch gotta know rule shitanybody ask cousin jersey thinkin bout mov lmmfao,1
"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",amo los pie fuck yeah,1
"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",hoe think meat wont slap ass ainna bruh,1
"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",yall bitche wit edge talk,1
"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",yall still go trick treat year nahhell yeah ima sweet tooth bandit steal bitche bag shit,1
"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",wanna sex mom fuck right pussy came damn got hack like fuck,1
"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",kis eye open watch bitchlmfao,1
"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",woulda coulda shoulda ass hoe,1
"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",happy bday bitch ass nigga preciate bitch roll,1
"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",us send bitch,1
"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",ug bitche like wcw duh bitch aint nobody else,1
"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",nigga know hacky sack hoe nah throw look passe lmao,1
"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",glad gett outta atlanta noth bunch nigga outta jail dumb bitche mad kid fuckin,1
"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",isnt ghettoit smart idc,2
"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",would wife hoe cuz wouldnt care cheat force relationship first place,1
"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",single isnt excuse hoe,1
"""@HoskinsTy96: White boy power bitch"" black power bitch",white boy power bitch black power bitch,1
"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",let get drunk get blow spit shit spark blunt fuck hoe bro white dude chill,1
"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",bitch around world back,1
"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",dont get dick suck party bad bitch gone set,1
"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",oomf soooo cute probab hoe lot,1
"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",every cartoon alway sav hoe lmao lmao damn captain saveahoe,1
"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",want get nose bad boi scal chav sockfetish stink hot sox leg,2
"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",wish bitch like brother keezy ooooow bet,1
"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",dress cat halloween basic pussy,1
"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",pornhub get gam stream feature dumb bitche gtfo get katie,1
"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",stop scar choke sex bitch ass nigga shell like say guy hit women bed foh,1
"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",well igues make hoe loyal bro theyll never loyal hoe nig,1
"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",man mol fuck se fix,1
"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",youre man refer every girl bitch,1
"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",lmfao cat start beat shit nigga final got pussy nigga,1
"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",peel peel br back rewind back move shaq line ooooow said trash,2
"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",alu record vine sai hahahaha lol anywaaaaaay haha,1
"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",naw old tape new cover upcom mixtape kingofthehill yeah wait hoe mayne,1
"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",dirty foot ass bitche funny,1
"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",that get yellow flag amaz hell yeah niggy,1
"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",dont got time bitche actin iffy,1
"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",ucfpinkparty come stay alive knight nation still ear bird special comeatmeut,2
"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",hoe aint loyal aint smfh wonder nobody decent want,1
"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",bruh stud keep think soft hell ask girl many time scream bitch okay stfu bye hoe,1
"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",dry pussy bitche alway blame condom,1
"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",shut bitch ass,1
"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",gucci mane jail dropp mixtape every month hoe cant even text back,1
"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",love hoe money wat wrong nigga,1
"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",loyal bitch burb without daddy issue like find holographic mewtwo sound like lol,1
"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",easy cum easy hoe that fact,1
"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",charlie sheen real major fuck respect charlie sheen,1
"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",wish bae got hoe tho,1
"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",fuck twerk bitch cook,1
"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",bitch wtf,1
"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",shut zoe fight pussy zoe good man good maam move along,1
"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",lmao fuck snake bitche,1
"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",big booty hoe everywhere sheesh damn,1
"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",stay tun update report week bum,2
"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",play soccer cheat girl wear khaki colour cargo haircut yes lmfao,2
"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",oregon choke every year get field trash ass program rft,1
"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",def cowboy lol terrell owen best eagle cowboy ever dude cri like bitch romo,1
"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",lmfaoooo hate black people there black people nigger,0
"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",could bitch potent,1
"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",piss lad past would lick dirty sole slept,2
"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",love frat boy soft long sole,2
"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",sexy lad hot sole arche,2
"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",nah fam gotta cheat hoe depend female feel,1
"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",got hick lol,2
"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",new twitter confus shit back south america bitch,1
"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",toto mean ass vaginai think pussy cause toto santi like nasty pussy,1
"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",actual choose ug bitch ass must fat,1
"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",bitch couldnt kill vibe tri dis love miley,1
"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.",tir bitche say look mean nigga big wear tight shirt grim everybody,1
"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",bird grandkid may never see thank climate change climate,2
"""@MvckFadden: ""Stay beautiful you bitch""""",stay beautiful bitch,1
"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",wutkinda purple ceeeleeeman gurl jus playin stupid hoe track still shitt sum gurl,1
"""@NastyCopper: Money getting taller and bitches getting blurry""",money gett taller bitche gett blurry,1
"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;",aint never seen bitch obsess nigga obsess mine,1
"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh.",kobe stay talk trash let forget meant one smh,1
"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",least nigger lmfao,0
"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol",people alway ask mix bad asian bitch lol,1
"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",ariza snake coward least isnt cripple like hero roach lmaoo,0
"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf",foster home imaginary trash whoa chill show everyth,2
"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",lowkey tir tir quiet sleep hoe,1
"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK""",stop bring weird nigger mention,1
"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;""",dont love hoe,1
"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",girl cant homeboy weak bitch ass nigga,1
"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",think worst advice gave dont pussy spe lol,1
"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy",quote tweet favorite animalpussy,1
"""@Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""",hate stripper tell theyre dancer hoe ballet dancer dont pop pussy beethoven stripper,1
